date,NGE_all,NGE_DITM,NGE_ITM,NGE_ATM,NGE_OTM,NGE_DOTM
2017-01-03,1547958.9088665629,57185.17161550035,-90876.74850993796,416196.84736504336,1059409.5667429618,106044.07165299542
2017-01-04,1857951.8101653857,-80732.70961690348,225819.85499776632,1406690.2623993997,101616.10968301212,204558.2927021103
2017-01-05,1815548.558821383,-100815.90104052232,164752.24394644314,1316591.7254410288,163140.66887580953,271879.8215986247
2017-01-06,1825420.8785762014,-101639.32791848827,175556.65597676023,1455155.5594484697,81359.65361200296,214988.33745745494
2017-01-09,1945028.8009537421,-101000.35491035935,154224.77059027093,1528368.030730196,117062.4353433171,246373.91920031834
2017-01-10,1948925.4712177278,-82250.01706261493,166117.14007120818,1675952.71206331,-15385.954414555337,204491.59056037985
2017-01-11,1868044.5887973756,-52094.48845196799,-263534.26464413217,721606.0176205863,1397803.3335054563,64263.99076743191
2017-01-12,1926212.5104790549,-72122.60623562355,-258505.96901352215,632322.9763113433,1535711.1301042861,88806.97931257274
2017-01-13,2201415.556565267,-87542.95671559691,-313855.01152129145,786288.5708708058,1760535.6667542183,55989.28717713093
2017-01-16,1259701.6940358095,-177702.18328207958,552439.4313997879,488008.83273455966,-469949.32091368595,866904.9340972271
2017-01-17,2189929.893877895,-135852.40317547135,-89803.78676729219,1931869.285123963,278242.802393522,205473.99630317203
2017-01-18,2352987.0855980203,-65647.5454300305,915341.9687243757,1561886.8534053583,-61767.9289632733,3173.737861589645
2017-01-19,2263322.8960493724,-55811.49773373384,804069.6710744427,1595294.099891113,-89612.82839834783,9383.451215898094
2017-01-20,2155910.159785302,-34428.30354831371,813001.353028395,1569003.4447206724,-214429.04338665144,22762.708971199754
2017-01-23,2384498.741521967,-28367.8252397755,594990.1848025047,1651341.7015810655,87351.81777010579,79182.86260806525
2017-01-24,2957041.827261108,-70767.19696616843,368002.840443574,2523037.8360095285,41314.973416525405,95453.37435764715
2017-01-25,3765040.664351131,26573.794268096477,182336.64024428057,3108325.8587045697,662692.4677480021,-214888.09661381878
2017-01-26,1303428.2795235394,33067.433014571405,362853.5830394793,1151720.1896756983,-150034.63071080466,-94178.29549540457
2017-02-03,928051.382856058,40835.5531369807,256840.77960975148,285573.33374599693,247537.04526663222,97264.67109669541
2017-02-06,1325107.8553146254,12651.67786548828,326845.7373510372,597932.4573228634,281880.11999238003,105797.86278285843
2017-02-07,1366381.3061022349,-37185.135246931895,704279.3923129612,713905.8528175564,-392897.6441191607,378278.8403378101
2017-02-08,1569123.318983188,-98368.85579692066,-139690.70672243737,870278.5721385931,598688.4247810254,338215.8845829282
2017-02-09,1790218.7774601122,91032.56232778073,68797.50895830092,818898.339311338,1033878.8442327941,-222388.4773701004
2017-02-10,1987025.166092447,-66618.26147876162,417218.50915637414,2024656.5267858016,-258201.26750581095,-130030.34086515591
2017-02-13,2091219.8563560694,-129781.89288701283,33656.32350596847,2207994.0569801754,-22691.347948047565,2042.716704985709
2017-02-14,2157152.6611234276,-119142.86554958519,137741.62651555226,2222108.335956871,-85912.1695241211,2357.7337247105315
2017-02-15,2010516.072773789,-137969.81505429314,200589.88729067976,1846193.1586981323,39822.82168615167,61880.02015311754
2017-02-16,1852208.5956622194,-123429.8993076759,54751.304990032426,1935369.2432491789,-52344.05423180782,37862.0009624933
2017-02-17,337935.4534846954,-116774.37465113294,31903.33985412214,362533.89380383724,2177.4965549570043,58095.09792291175
2017-02-20,1675349.2555733286,-155052.26047589042,185570.78395198478,1327654.6320936237,177784.90410246397,139391.19590114313
2017-02-21,1466532.7636639029,-27377.861244747422,760350.3413425547,1303173.7918318408,-473732.1273724232,-95881.3808933209
2017-02-22,2868932.3879208798,-42088.84599101218,1087225.947160844,2355113.425339866,-431568.23827905115,-99749.90030976682
2017-02-23,1943733.2556698034,-159598.3137654455,1208340.5769280824,1268963.1864570256,-678706.8512710566,304734.65732119617
2017-02-24,1950342.1507114493,-164260.38406204805,59270.68616262806,1478378.6704046256,246942.10214256553,330011.0760636782
2017-02-27,1918643.4870390436,-107403.59927547768,97990.29050803461,1479931.1418578452,156016.97562986426,292108.67831877654
2017-02-28,1992791.6905342685,-113460.66409453592,206992.8948948826,1688773.3139071595,-26695.799667203566,237181.94549396826
2017-03-01,2419206.2050038166,-59178.50641157248,168318.9952794415,1947865.7667951845,99137.69105413172,263062.2582866332
2017-03-02,2355621.053736246,-4883.062549044378,247499.62307962705,2046599.8422959084,-90047.19641387532,156451.84732362698
2017-03-03,2186408.138833762,-111187.27013687535,-269624.34140863747,737960.9930279213,1451502.3346520448,377756.42269930954
2017-03-06,2508627.18959972,-141200.28275486783,-373727.5178598099,967100.8121656571,1653160.629898059,403293.54815067956
2017-03-07,2922099.431017814,-171253.0524948401,-290637.7833725433,1253028.8594980985,1734968.9830509818,395992.4243361153
2017-03-08,3160062.5831064843,-129084.26716307827,-1191624.4225770566,1415460.0740447487,3026669.95002366,38641.24877821142
2017-03-09,3183026.980287806,-328241.29471653205,276874.1349365276,2018169.9436305235,416511.9617920965,799712.2346451858
2017-03-10,3141282.7198071573,-321731.1530705525,10507.636430607876,2384525.5005229763,339512.96198256547,728467.7739415602
2017-03-13,3398394.3550026305,-163530.6145676704,-95174.25799909409,1767377.1774934912,1512968.6838051977,376753.36627070536
2017-03-14,3330296.466402256,-64926.12308869962,-367483.22058090754,1448781.741166139,2393902.7870047763,-79978.71809905383
2017-03-15,3272505.82345937,-46698.587629527974,-686934.96890297,1662464.0025892323,2408422.9937223466,-64747.61631971295
2017-03-16,3436810.679383169,-54521.073253848925,536407.5665712346,3112181.9604576435,-210284.07994536893,53026.30555350531
2017-03-17,3513924.0215656795,-18882.91877914546,29123.0453758114,469651.5510566123,3027225.5117907953,6806.83212160517
2017-03-20,2321098.1937850807,-138116.60052963812,-51246.70831958926,1161763.757245293,1013345.4080514421,335352.3373375766
2017-03-21,3777129.7092741877,-41774.46196056888,-288618.7934237351,2305101.5485710064,1881039.5571381561,-78618.1410506703
2017-03-22,2388883.8551902724,-281028.7593075194,714904.0067614388,1546258.8903854745,-258009.20462345053,666758.9219743283
2017-03-23,2195977.187280526,-191119.76327530856,154634.44225174747,1181357.1828753292,698518.4614560329,352586.86397272587
2017-03-24,2263634.5258526774,-180536.97244614107,231437.99851687695,1205149.539018342,652902.5457872734,354681.4149763272
2017-03-27,2374314.444644469,-181474.87948057055,206559.41815736954,2397821.025955614,-119554.72937276668,70963.60938482254
2017-03-28,2301585.7586558554,-68760.10782883476,-217542.28138754086,808029.8351834926,1821076.603502255,-41218.29081351601
2017-03-29,2444134.179426873,-113464.18573767475,-205007.60028996225,880193.7273705497,1929153.7140205312,-46741.47593657125
2017-03-30,1909963.4379987903,-83645.91349325984,454803.7426545187,649385.8648932418,509149.55698709004,380270.18695720076
2017-03-31,2734563.219907944,-91767.67948470249,-15950.735428825137,1261882.3472403502,1720801.4516556577,-140402.16407453665
2017-04-05,2876961.953306418,-138702.2472711492,218588.87842298075,2715259.023551481,-49386.461311663385,131202.75991477096
2017-04-06,3067988.2860770263,-168362.35899202345,-75167.97926670604,3000380.3980418965,99147.80242068006,211990.42387317994
2017-04-07,3120911.9767690655,-210775.05831601366,-48098.753869596316,2861040.303545995,267819.9115519312,250925.57385675056
2017-04-10,3050062.9907920696,-247751.44235276413,-97268.95567379569,2880170.091596537,215374.5673420243,299538.72988006764
2017-04-11,2373642.644579813,-28665.708135651104,-787830.0726006101,245085.1990914028,2870955.7721208762,74097.45410379278
2017-04-12,3440469.7523666127,-216275.5094483662,-60358.18712973912,3357067.121251521,105583.03345288709,254453.29424031405
